DateExecuted,Type,MarketName,ContractName,Shares,Price,ProfitLoss,Fees,Risk,CreditDebit,URL
6/28/2019 12:22 PM,Closed,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,252,$1.00,$30.24,($3.024),$221.760,$248.976,https://www.predictit.org/markets/detail/5621
6/28/2019 12:22 PM,Closed,How many tweets will @vp post from noon 6/21 - noon 6/28?,40-44,222,$1.00,$31.02,($3.102),$190.980,$218.898,https://www.predictit.org/markets/detail/5621
6/28/2019 11:49 AM,Buy No,How many @realDonaldTrump tweets mention "debate" noon 6/25 - noon 7/2?,17,24,$0.95,$0.00,$0.000,($22.800),($22.800),https://www.predictit.org/markets/detail/5633
6/28/2019 11:16 AM,Sell Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,8,$0.97,$0.72,($0.072),$7.040,$7.688,https://www.predictit.org/markets/detail/5621
6/28/2019 10:36 AM,Buy Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,25,$0.88,$0.00,$0.000,($22.000),($22.000),https://www.predictit.org/markets/detail/5621
6/28/2019 10:31 AM,Buy Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,50,$0.88,$0.00,$0.000,($44.000),($44.000),https://www.predictit.org/markets/detail/5621
6/28/2019 10:17 AM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 26 to noon July 3?,119-,45,$0.59,$9.90,($0.990),$16.650,$25.560,https://www.predictit.org/markets/detail/5634
6/28/2019 10:17 AM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 26 to noon July 3?,119-,75,$0.59,$17.09,($1.709),$27.160,$42.541,https://www.predictit.org/markets/detail/5634
6/28/2019 10:05 AM,Buy Yes,How many tweets will @vp post from noon 6/21 - noon 6/28?,39-,90,$0.88,$0.00,$0.000,($79.200),($79.200),https://www.predictit.org/markets/detail/5621
6/28/2019 9:55 AM,Sell Yes,How many tweets will @realDonaldTrump post from noon June 26 to noon July 3?,119-,50,$0.59,$9.75,($0.975),$19.750,$28.525,https://www.predictit.org/markets/detail/5634
